SHIP_NO,SHIP_GUBUN,GROSS_TONNAGE,REG_LENGTH,REG_BREADTH,REG_DEPTH,NATURE,PURPOSE,PURPOSE_GU,REG_PORT
10016263802,1,1.04,5.9,1.79,0.79,5,B04,1,2638000000
10016264409,1,1.57,6.94,2.15,0.87,5,E70,1,2638000000
10016317101,1,1.33,8,2.18,0.54,5,B13,2,2671000000
10016417502,1,1.08,6.12,1.87,0.84,5,B10,3,4175041000
10016421506,1,1.45,6.35,2.05,0.93,5,B04,1,4215000000
10016421702,1,2.96,8.7,2.38,0.72,5,B10,3,4217000000
10016422309,1,3.67,9.57,2.62,0.81,5,B10,3,4223031000
10016428303,1,10,14.5,4.1,1.1,5,E09,0,4283034000
10016441806,1,0.84,5.78,1.78,0.72,5,B04,1,4418033000
10016442109,1,4.99,10.44,3,0.91,5,B10,3,4418032000
10016448257,1,5.65,11.92,3.12,0.77,5,B10,3,4477041000
10016448309,1,1.02,6.93,1.98,0.53,5,A01,14,4418025000
10016467708,1,1.29,6.78,1.92,0.57,5,B10,3,4824000000
10016468403,1,1.95,7.5,3.35,0.61,5,B04,1,4684036000
10016468707,1,1.22,7.15,1.8,0.74,5,B10,3,4687037000
10016469000,1,0.93,6.57,1.8,0.75,5,B10,3,4690011000
10016469108,1,0.77,5.81,1.7,0.57,5,F00,1,4691031000
10016477706,1,3.52,8.8,3.21,0.74,5,E60,1,4777036000
10016482209,1,1.94,7.6,2.3,0.71,5,B13,2,4822033000
10016482405,1,1.62,6.98,2.12,0.91,5,E60,1,4884036000
10016483100,1,4.99,10.8,2.95,0.94,5,E60,1,4831031000
10016488409,1,4.05,9,2.77,0.97,5,B10,3,4884034000
10016491306,1,1.92,8.3,2.12,0.65,5,B04,1,4971031000
10026265005,1,1.99,8.02,2.26,0.61,5,B13,2,2650000000
10026287205,1,9.77,14.5,4.1,1.17,5,B07,1,4157000000
10026317100,1,1.02,7.17,1.9,0.6,5,B04,1,4623035000
10026412702,1,4.61,9.75,2.88,0.87,5,B10,3,2811000000
10026421505,1,16,17.24,4.96,1.25,5,E09,0,4215035000
10026422308,1,1.36,6.35,2.01,0.93,5,B10,3,4223025300
10026428204,1,2.8,8.7,2.38,0.72,5,B10,3,4282033000
10026441805,1,0.84,5.78,1.78,0.72,5,E60,1,4689034000
10026442108,1,2.56,8.73,2.26,0.57,5,B10,3,4421025000
10026448255,1,3.51,10.4,2.55,0.64,5,B10,3,4482512000
10026448308,1,0.64,5.12,1.82,0.63,5,B10,3,4482512000
10026461105,1,2.26,7.38,2.36,0.89,5,B04,1,4611000000
10026461301,1,4.98,9.69,2.96,0.98,5,B04,1,4613000000
10026461507,1,1.62,7.2,2.15,0.88,5,B04,1,4613032000
10026468001,1,3.47,9.84,3.3,0.75,5,B04,1,4884038000
10026468109,1,1.08,6.53,1.94,0.65,5,E60,1,4682034000
10026468706,1,0.64,5.81,1.7,0.55,5,B10,3,4687036000
10026469009,1,1.17,6.03,1.98,0.78,5,F00,1,4690033000
10026469107,1,4.04,9.6,2.76,0.84,5,E60,1,4691036000
10026481905,1,1.31,8.3,1.89,0.66,5,B10,3,4687013000
10026482208,1,3.61,9.5,2.5,0.94,5,B13,2,4884011000
10026483109,1,1.51,7.07,2.1,0.72,5,B10,3,4831040000
10026488202,1,2.65,7.45,2.53,0.85,5,B04,1,4822037000
10026488408,1,3.99,8.99,2.77,0.97,5,B13,2,4884039000
10026488506,1,1.1,6.48,1.87,0.7,5,F00,2,4689033000
10026497201,1,4.03,9.17,2.59,0.8,5,B04,1,4911000000
10036264407,1,1.49,7.33,1.97,0.86,5,B04,1,2644000000
10036428203,1,2.8,8.7,2.38,0.72,5,B10,3,4282033000
10036441804,1,3.51,9,2.5,1.03,5,B04,1,4418025000
10036447700,1,4.91,10.6,3.18,0.9,5,B10,3,4691036000
10036448255,1,1.01,7.11,1.97,0.6,5,E60,1,4822037000
10036467706,1,4.2,9.94,3.23,0.8,5,F00,4,2644000000
10036467804,1,1.65,6.84,2.06,0.8,5,B04,1,4613000000
10036468108,1,1.31,6.28,1.98,0.66,5,B04,1,4682034000
10036468705,1,1.46,7.29,1.95,0.8,5,B10,3,4687013000
10036469008,1,0.89,5.5,1.9,0.74,5,F00,4,4690032000
10036481502,1,1.98,6.81,2.13,0.89,5,B04,1,4815134000
10036481904,1,2.34,7.53,2.24,0.77,5,B10,3,4885042000
10036482207,1,3.64,8.86,2.77,0.86,5,A01,15,4579035000
10036482403,1,1.06,6.03,1.82,0.87,5,B04,1,4824037000
10036483108,1,1.74,7.45,2.1,0.69,5,B13,2,4822034000
10036488407,1,1.84,8,2.4,0.62,5,E60,1,4831000000
10036491108,1,9.77,14.63,3.85,1.16,5,B04,1,4911000000
10046264406,1,1.52,7.33,1.97,0.88,5,F00,4,2644000000
10046287203,1,7.93,11.9,4.15,1.1,5,B07,1,2811000000
10046421503,1,0.34,4.23,1.4,0.5,5,B04,1,4215034000
10046422306,1,2.72,8.42,2.46,0.61,5,B10,3,4217000000
10046428202,1,2.76,7.9,2.28,0.74,5,B04,1,4282033000
10046442106,1,1.54,7.88,1.96,0.48,5,B10,3,4421033000
10046467705,1,2.64,8.27,3.16,0.72,5,E60,1,4711138500
10046468009,1,1.04,7.53,2.05,0.45,5,B04,1,4680037000
10046468900,1,1.28,6.48,1.98,0.85,5,E60,1,4689035000
10046469007,1,4.99,11.1,3.94,0.75,5,B04,1,4690034000
10046471101,1,4.78,10.5,2.91,0.89,5,B10,3,4711125000
10046482206,1,3.75,8.92,2.6,0.94,5,E60,1,4822034000
10046491303,1,1.26,5.49,1.94,0.9,5,B04,1,4777037000
10046497101,1,5.29,10.2,3,0.91,5,B04,1,4972011000
10056264405,1,1.4,7.33,1.97,0.81,5,B04,1,2638000000
10056421502,1,0.35,4.28,1.39,0.5,5,B10,3,4215034000
10056428201,1,1.07,6.42,1.83,0.8,5,B10,3,4282032000
10056451300,1,2.2,6.26,3.41,0.73,5,B10,3,4513039000
10056468008,1,1.11,6.01,1.79,0.75,5,E60,1,4689012000
10056468203,1,3.17,9.6,3.58,0.69,5,B04,1,4677034000
10056468909,1,0.8,4.72,1.92,0.73,5,F00,1,4691042000
10056469006,1,1.17,6.03,1.98,0.78,5,E60,1,4690032000
10056482205,1,4.2,9.62,2.92,0.81,5,B13,2,4822033000
10056488405,1,3,6.38,2.19,0.6,5,B10,3,4691036000
10066264404,1,1.53,7.2,2.3,0.77,5,B04,1,2644000000
10066287201,1,7.93,13.79,4.15,1.1,5,B10,3,2814000000
10066442104,1,1.15,6.31,1.95,0.5,5,A01,14,4691011000
10066448252,1,6.67,11.74,3.24,0.9,5,B10,3,4482531000
10066451309,1,9.77,14.63,3.85,1.16,5,B10,3,4513039000
