SHIP_NO,SHIP_GUBUN,GROSS_TONNAGE,REG_LENGTH,REG_BREADTH,REG_DEPTH,NATURE,PURPOSE,PURPOSE_GU,REG_PORT
BBB222224,2,11,,0,0,,G08,20,
BSB000850,2,466,51.86,15,3.2,1,G07,9,2600000000
BSB001075,2,185,22.87,10.5,4.5,1,G07,111,2600000000
BSB001227,2,2230,52.82,28,5,1,G07,12,2600000000
BSB001234,2,1479,52.82,23,4.5,1,G07,12,2600000000
BSB010015,2,305,36.5,12,3.3,1,G07,117,3100000000
BSB010054,2,100,20.13,9,3,1,G07,117,2600000000
BSB010369,2,838,56.95,14.5,5,1,G07,8,2600000000
BSB010801,2,1110,71.73,19.5,3.8,1,G07,9,2600000000
BSB011125,2,1610,51.86,23.9,4.5,1,G07,159,2600000000
BSB011200,2,543,47.83,12.4,4.7,1,G07,17,2600000000
BSB012557,2,2892,87.86,24.4,5.5,1,G07,12,2600000000
BSB014943,2,969,55.7,21,3.5,1,G07,19,2600000000
BSB017028,2,2180,77.2,25,4.8,1,G07,12,2600000000
BSB020111,2,557,47.83,12.4,4.7,1,G07,17,2600000000
BSB020341,2,715,48.4,16,3.4,1,G07,17,2600000000
BSB020458,2,978,50.9,22,4,1,G01,1,2600000000
BSB021070,2,1405,69.62,14.5,5.5,1,G07,12,2600000000
BSB021193,2,1222,51.86,22.5,4,1,G07,159,2600000000
BSB021681,2,334,40.34,17,2.5,1,G07,159,2600000000
BSB022713,2,671,45,19,3.5,1,G07,158,2600000000
BSB028273,2,966,71.73,19.5,3.8,1,G07,8,2600000000
BSB028365,2,1643,69.14,24,4.5,1,G07,12,2600000000
BSB030098,2,2114,73.38,25,5,1,G07,9,2600000000
BSB030133,2,603,51.86,16.6,3.6,1,G07,9,2600000000
BSB030296,2,1276,57.63,20,3.8,1,G07,9,2600000000
BSB030522,2,600,51.86,16.6,3.6,1,G07,12,2600000000
BSB030661,2,1008,62.42,22,3.5,1,G07,9,2600000000
BSB031013,2,466,48.02,18,3,1,G07,12,2600000000
BSB031120,2,597,43.22,19,3.5,1,G07,159,2600000000
BSB031399,2,1213,64.21,21,4.2,1,G07,12,2600000000
BSB031498,2,501,52.34,15.85,3.15,1,G07,9,2600000000
BSB031501,2,51,13.4,5.97,3.35,1,G07,14,2600000000
BSB031618,2,1134,63.38,15.5,5,1,G07,17,2600000000
BSB031696,2,361,36.98,17,3,1,G07,159,2600000000
BSB032643,2,4574,110.42,23.5,6.5,1,G07,145,2600000000
BSB032711,2,479,40.34,17,3.3,1,G07,159,2600000000
BSB040109,2,1140,60.5,18,4.7,1,G07,8,2600000000
BSB040187,2,498,51.86,16,3.2,1,G07,9,2600000000
BSB040247,2,1537,62.42,20,5,1,G07,8,2600000000
BSB040307,2,406,38.42,17,3,1,G07,12,2600000000
BSB040551,2,3147,95.26,18,7,1,G07,145,2600000000
BSB040711,2,645,57.62,16.5,3.5,1,G07,9,2600000000
BSB040881,2,2121,87.76,18.2,5.8,1,G07,17,2600000000
BSB040958,2,242,41.28,15.4,3,1,G07,159,2600000000
BSB040972,2,388,43.22,16,3,1,G07,12,2600000000
BSB041198,2,1171,62.44,22,4,1,G07,9,2600000000
BSB041201,2,703,44.66,20,3.5,1,G01,8,2600000000
BSB041233,2,427,36.02,13.8,4.3,1,G07,117,2600000000
BSB041516,2,1293,59.54,16,5.5,1,G07,17,2600000000
BSB041555,2,472,43.22,17,3.3,1,G07,159,2600000000
BSB047815,2,413,42.74,16,3,1,G07,12,2600000000
BSB048285,2,1058,60.02,22,3.5,1,G07,9,2600000000
BSB050092,2,708,47.06,19,3.3,1,G07,17,2600000000
BSB050152,2,1293,59.55,16,5.5,1,G07,17,2600000000
BSB050160,2,410,41.3,17,3,1,G07,19,2600000000
BSB050177,2,423,40.34,17.2,3,1,G07,159,2600000000
BSB050304,2,412,48.4,15,3,1,G07,12,2600000000
BSB050382,2,621,57.7,16,3.5,1,G07,12,2600000000
BSB050390,2,853,57.62,20,3.5,1,G07,19,2600000000
BSB050403,2,9365,91.61,41,7.5,1,G07,159,2600000000
BSB050411,2,11572,78.76,47.17,6.4,1,G07,12,2600000000
BSB050435,2,3275,67.2,32,5,1,G07,9,2600000000
BSB050502,2,1980,71.76,24.5,5,1,G07,12,2600000000
BSB050527,2,3736,82.01,20,9,1,G07,8,2600000000
BSB050697,2,3292,82.17,21,7.5,1,G07,8,2600000000
BSB050789,2,505,37.46,21,3.3,1,G07,12,2600000000
BSB050863,2,732,48.98,19,3.8,1,G07,12,2600000000
BSB050895,2,2364,82.43,17,7.5,1,G07,145,2600000000
BSB050955,2,1758,87.01,17,5.6,1,G07,17,2600000000
BSB051001,2,3744,88.26,21,7.5,1,G07,8,2600000000
BSB051025,2,1880,70.29,24.38,4.87,1,G07,12,2600000000
BSB051584,2,649,43.2,19,3.5,1,G07,158,2600000000
BSB052715,2,3732,82.01,20,,1,G07,8,2600000000
BSB052786,2,1294,57.52,22.5,4.5,1,G07,19,2600000000
BSB060082,2,2200,75.86,25.8,4.8,1,G07,12,2600000000
BSB060150,2,1856,78.8,17,5.6,1,G07,17,2600000000
BSB060301,2,859,63.38,18,3.8,1,G07,12,2600000000
BSB060365,2,810,59.54,18,3.7,1,G07,12,2600000000
BSB060401,2,362,38.42,18,3,1,G07,159,2600000000
BSB060457,2,538,41.3,19,3.3,1,G07,12,2600000000
BSB060556,2,792,64.7,17,3.5,1,G07,9,2600000000
BSB060623,2,372,38.42,17,3,1,G07,159,2600000000
BSB060662,2,2919,87.86,24.4,5.5,1,G07,9,2600000000
BSB060687,2,2919,87.86,24.4,5.5,1,G07,12,2600000000
BSB060722,2,981,63.38,18,4.2,1,G07,12,2600000000
BSB060747,2,861,61.46,18,4,1,G07,9,2600000000
BSB060853,2,898,48.99,19,4,1,G07,159,2600000000
BSB061121,2,848,59.06,18,4,1,G07,159,2600000000
BSB061139,2,1366,66.24,23,3.5,1,G07,12,2600000000
BSB061206,2,378,38.42,17,3,1,G07,12,2600000000
BSB061245,2,731,61.36,17,3.8,1,G07,12,2600000000
BSB061291,2,1067,59.56,15,5.5,1,G07,19,2600000000
BSB061337,2,1336,68.81,22,4.2,1,G07,12,2600000000
BSB061404,2,940,62.29,18,4,1,G07,12,2600000000
BSB062691,2,4725,87.86,24.4,5.5,1,G07,12,2600000000
BSB062882,2,838,38.44,18.5,3.75,1,G07,12,2600000000
BSB068233,2,2508,81.62,26,5,1,G07,12,2600000000
BSB070065,2,897,67.22,18,3.8,1,G07,9,2600000000
BSB070118,2,3633,69.53,36,4.9,1,G07,12,2600000000
BSB070331,2,559,43.22,19,3.3,1,G07,19,2600000000
BSB070355,2,932,63.12,18,4,1,G07,12,2600000000
BSB070387,2,833,62.02,17,3.5,1,G07,12,2600000000
BSB070422,2,860,63.38,18,3.8,1,G07,12,2600000000
BSB070493,2,924,57.6,22.8,2.8,1,G01,1,2600000000
BSB070578,2,671,54.17,19.9,3.2,1,G07,12,2600000000
BSB070613,2,316,34.58,0,0,1,G07,19,2600000000
BSB070652,2,833,63.36,18,3.7,1,G07,12,2600000000
BSB070705,2,544,43.22,22,3.5,1,G07,12,2600000000
BSB070712,2,426,50.91,14,3.3,1,G07,12,2600000000
BSB070791,2,1912,68.8,24,4.15,1,G07,9,2600000000
BSB070868,2,2295,74.86,18.5,4.22,1,G07,12,2600000000
BSB070875,2,437,40.34,17,3,1,G07,159,2600000000
BSB070882,2,920,49.94,22,3.5,1,G08,129,2600000000
BSB070999,2,206,34.58,10.5,2.24,1,G07,12,2600000000
BSB071083,2,281,37.65,13,3.3,1,G07,12,2600000000
BSB071168,2,235,46.1,9,3.5,1,G07,111,2600000000
BSB071190,2,1029,56.67,15,5,1,G07,17,2600000000
BSB071211,2,4460,95.38,20,8.5,1,G07,8,2600000000
BSB071341,2,929,62.42,18,4,1,G07,12,2600000000
BSB071426,2,1376,55.02,22,5,1,G07,12,2600000000
BSB071525,2,785,48.02,20,3.5,1,G07,12,2600000000
BSB071557,2,1552,69.14,,,1,G07,12,2600000000
BSB072529,2,4874,127.95,18.5,8,1,G07,5,2600000000
BSB072702,2,462,40.92,13.5,3.2,1,G07,12,2600000000
BSB072901,2,469,41.3,18,3.2,1,G07,159,2600000000
BSB077856,2,617,52.8,15,4.2,1,G07,12,2600000000
BSB078216,2,1420,71.06,21,4.5,1,G07,12,2600000000
BSB078223,2,833,63.36,18,3.7,1,G07,12,2600000000
BSB078308,2,999,63.36,20,4,1,G07,9,2600000000
BSB080094,2,344,42.24,14,3.3,1,G07,12,2600000000
BSB080193,2,2052,72.02,24,5,1,G07,12,2600000000
BSB080239,2,2861,89.28,19,6.2,1,G07,17,2600000000
BSB080261,2,1364,57.63,20,4.5,1,G07,159,2600000000
BSB080292,2,513,48.02,13,3,1,G07,12,2600000000
BSB080313,2,2755,88.34,19,6.2,1,G07,17,2600000000
BSB080345,2,821,57.6,17,4.1,1,G07,12,2600000000
BSB080360,2,811,57.6,14,4,1,G07,9,2600000000
BSB080451,2,880,55.68,22,3.5,1,G07,19,2600000000
BSB080635,2,449,43.22,18.4,2.5,1,G07,12,2600000000
BSB080699,2,183,27.46,12,2.5,1,G07,12,2600000000
BSB080741,2,430,38.42,18,3.2,1,G07,19,2600000000
BSB080759,2,2861,89.28,19,6.2,1,G07,17,2600000000
BSB080865,2,205,28.8,10.5,3.7,1,G07,14,2600000000
BSB080971,2,3309,94.22,19,6.3,1,G07,17,2600000000
BSB081059,2,435,38.42,18,3,1,G07,9,2600000000
BSB081073,2,751,48.02,20,3.8,1,G07,19,2600000000
BSB081133,2,21,14.42,6,1.65,1,G07,117,2600000000
BSB084523,2,2604,81.62,25.8,5,1,G07,12,2600000000
BSB085601,2,1919,72.98,24,4.8,1,G07,12,2600000000
BSB086096,2,910,62.42,18,4,1,G07,12,2600000000
BSB086294,2,880,59.35,18,4,1,G07,12,2600000000
BSB088054,2,173,39.07,9,2.9,1,G07,14,2600000000
BSB088213,2,1420,71.04,21,4.5,1,G07,12,2600000000
BSB088221,2,1420,71.04,21,4.5,1,G07,12,2600000000
BSB088780,2,3500,91.2,28,5,1,G07,9,2600000000
BSB090169,2,866,63.38,18,3.8,1,G07,9,2600000000
BSB090335,2,2391,77.2,25,5,1,G07,12,2600000000
BSB090399,2,1441,57.63,24,4,1,G07,17,2600000000
BSB090434,2,431,36.5,14,2.5,1,G07,12,2600000000
BSB090498,2,238,33.62,14.2,2.7,1,G01,1,2600000000
BSB090526,2,1167,58.58,22,4,1,G07,17,2600000000
BSB090533,2,473,46.29,16,3.5,1,G07,12,2600000000
BSB090597,2,137,27.86,9,2.5,1,G07,17,2600000000
BSB090640,2,326,34.58,16.5,3,1,G07,158,2600000000
BSB090664,2,1714,72.02,23,4.65,1,G07,12,2600000000
BSB090671,2,1731,72.02,23,4.65,1,G07,12,2600000000
BSB090689,2,1715,72.02,23,4.65,1,G07,12,2600000000
BSB090848,2,1517,68.19,23,4.5,1,G07,12,2600000000
BSB090855,2,1510,68.19,23,4.5,1,G07,12,2600000000
BSB090915,2,149,28.82,14,2.1,1,G07,21,2600000000
BSB091024,2,315,28.83,13,3.5,1,G07,17,2600000000
BSB100017,2,1025,63.38,18,3.8,1,G07,12,2600000000
BSB100162,2,2071,75.84,18,6.2,1,G07,17,2600000000
BSB100215,2,248,34.58,14,2.5,1,G07,12,2600000000
BSB100378,2,1121,65.3,20,4.2,1,G07,12,4611000000
BSB100633,2,1732,72.02,24,4.5,1,G07,19,2600000000
BSB100636,2,878,63.38,18,3.8,1,G07,12,2600000000
BSB100742,2,576,44.19,18.5,3.3,1,G07,9,2600000000
BSB100767,2,481,33.62,22,3.2,1,G07,9,2600000000
BSB100866,2,1656,72.03,0,0,1,G07,12,2600000000
BSB100881,2,1064,52.84,23,3.5,1,G07,9,2600000000
BSB101005,2,463,38.42,17,3.5,1,G07,19,2600000000
BSB101014,2,1628,72.02,22,4.5,1,G07,12,2600000000
BSB101102,2,466,47.17,17.5,3,1,G07,19,2600000000
BSB101265,2,1071,67.36,19.51,4.27,1,G07,12,2600000000
BSB101332,2,1312,72.02,20,4.2,1,G07,12,2600000000
BSB101400,2,885,57.62,22,3.5,1,G07,12,2600000000
BSB102467,2,432,47.52,16,3,1,G07,9,2600000000
BSB104273,2,3558,76.82,25.8,5,1,G07,12,2600000000
BSB106224,2,1014,63.38,20,3.8,1,G07,12,2600000000
BSB106271,2,1793,72.02,22,4.5,1,G07,9,2600000000
